ENSG00000000003	ENSGGOG00000010003
ENSG00000007174	ENSGGOG00000000004
ENSG00000007202	ENSGGOG00000016662
ENSG00000007216	ENSGGOG00000028117
ENSG00000007237	ENSGGOG00000012941
ENSG00000007255	ENSGGOG00000008686
ENSG00000007264	ENSGGOG00000014700
ENSG00000007306	ENSGGOG00000014153
ENSG00000007312	ENSGGOG00000012519
ENSG00000007314	ENSGGOG00000012527
ENSG00000007341	ENSGGOG00000034881
ENSG00000007350	ENSGGOG00000004191
ENSG00000007372	ENSGGOG00000010246
ENSG00000007376	ENSGGOG00000013997
ENSG00000007392	ENSGGOG00000016488
ENSG00000007402	ENSGGOG00000007132
ENSG00000007516	ENSGGOG00000011646
ENSG00000007520	ENSGGOG00000011679
ENSG00000007541	ENSGGOG00000007879
ENSG00000007545	ENSGGOG00000006181
ENSG00000007866	ENSGGOG00000001847
ENSG00000007908	ENSGGOG00000005841
ENSG00000007923	ENSGGOG00000006848
ENSG00000007933	ENSGGOG00000016607
ENSG00000007944	ENSGGOG00000013055
ENSG00000007952	ENSGGOG00000006886
ENSG00000007968	ENSGGOG00000003033
ENSG00000008018	ENSGGOG00000022128
ENSG00000008056	ENSGGOG00000008704
ENSG00000008083	ENSGGOG00000005536
ENSG00000008086	ENSGGOG00000010796
ENSG00000008118	ENSGGOG00000001221
ENSG00000008130	ENSGGOG00000000307
ENSG00000008196	ENSGGOG00000014613
ENSG00000008197	ENSGGOG00000003510
ENSG00000008226	ENSGGOG00000003808
ENSG00000008256	ENSGGOG00000015376
ENSG00000008277	ENSGGOG00000002042
ENSG00000008282	ENSGGOG00000006497
ENSG00000008294	ENSGGOG00000015297
ENSG00000008300	ENSGGOG00000016683
ENSG00000008311	ENSGGOG00000027257
ENSG00000008323	ENSGGOG00000011884
ENSG00000008324	ENSGGOG00000036655
ENSG00000008382	ENSGGOG00000008189
ENSG00000008394	ENSGGOG00000006707
ENSG00000008405	ENSGGOG00000027205
ENSG00000008438	ENSGGOG00000011126
ENSG00000008441	ENSGGOG00000001831
ENSG00000008513	ENSGGOG00000022531
ENSG00000008516	ENSGGOG00000016325
ENSG00000008517	ENSGGOG00000023430
ENSG00000008710	ENSGGOG00000007016
ENSG00000008735	ENSGGOG00000007277
ENSG00000008838	ENSGGOG00000005054
ENSG00000008853	ENSGGOG00000036689
ENSG00000008869	ENSGGOG00000005010
ENSG00000008952	ENSGGOG00000013658
ENSG00000009307	ENSGGOG00000002164
ENSG00000009335	ENSGGOG00000005173
ENSG00000009413	ENSGGOG00000008128
ENSG00000009694	ENSGGOG00000003488
ENSG00000009709	ENSGGOG00000004213
ENSG00000009724	ENSGGOG00000015360
ENSG00000009765	ENSGGOG00000036276
ENSG00000009780	ENSGGOG00000006690
ENSG00000009790	ENSGGOG00000006197
ENSG00000009830	ENSGGOG00000006199
ENSG00000009844	ENSGGOG00000015524
ENSG00000009950	ENSGGOG00000016962
ENSG00000009954	ENSGGOG00000016557
ENSG00000010017	ENSGGOG00000023138
ENSG00000010030	ENSGGOG00000002074
ENSG00000010072	ENSGGOG00000003142
ENSG00000010219	ENSGGOG00000011062
ENSG00000010244	ENSGGOG00000024003
ENSG00000010256	ENSGGOG00000007193
ENSG00000010270	ENSGGOG00000013471
ENSG00000010278	ENSGGOG00000008208
ENSG00000010282	ENSGGOG00000007038
ENSG00000010292	ENSGGOG00000009536
ENSG00000010295	ENSGGOG00000009558
ENSG00000010310	ENSGGOG00000016144
ENSG00000010318	ENSGGOG00000015905
ENSG00000010319	ENSGGOG00000015913
ENSG00000010322	ENSGGOG00000015932
ENSG00000010327	ENSGGOG00000015946
ENSG00000010361	ENSGGOG00000010155
ENSG00000010379	ENSGGOG00000004892
ENSG00000010438	ENSGGOG00000013297
ENSG00000010539	ENSGGOG00000025449
ENSG00000010610	ENSGGOG00000003230
ENSG00000010626	ENSGGOG00000002523
ENSG00000010671	ENSGGOG00000022176
ENSG00000010704	ENSGGOG00000006373
ENSG00000010803	ENSGGOG00000017190
ENSG00000010810	ENSGGOG00000008065
ENSG00000010818	ENSGGOG00000016466
ENSG00000010932	ENSGGOG00000010940
ENSG00000011009	ENSGGOG00000004330
ENSG00000011021	ENSGGOG00000012934
ENSG00000011028	ENSGGOG00000001818
ENSG00000011083	ENSGGOG00000000107
ENSG00000011105	ENSGGOG00000041703
ENSG00000011114	ENSGGOG00000006606
ENSG00000011132	ENSGGOG00000004637
ENSG00000011143	ENSGGOG00000003139
ENSG00000011198	ENSGGOG00000004874
ENSG00000011201	ENSGGOG00000001551
ENSG00000011243	ENSGGOG00000013441
ENSG00000011258	ENSGGOG00000003708
ENSG00000011260	ENSGGOG00000017061
ENSG00000011275	ENSGGOG00000042353
ENSG00000011295	ENSGGOG00000001647
ENSG00000011304	ENSGGOG00000005090
ENSG00000011332	ENSGGOG00000005852
ENSG00000011347	ENSGGOG00000016983
ENSG00000011376	ENSGGOG00000015767
ENSG00000011405	ENSGGOG00000011040
ENSG00000011422	ENSGGOG00000009182
ENSG00000011426	ENSGGOG00000001712
ENSG00000011451	ENSGGOG00000013470
ENSG00000011454	ENSGGOG00000003890
ENSG00000011465	ENSGGOG00000003795
ENSG00000011478	ENSGGOG00000002353
ENSG00000011485	ENSGGOG00000007562
ENSG00000011523	ENSGGOG00000005826
ENSG00000011566	ENSGGOG00000027425
ENSG00000011590	ENSGGOG00000016789
ENSG00000011600	ENSGGOG00000015332
ENSG00000011638	ENSGGOG00000008931
ENSG00000011677	ENSGGOG00000034961
ENSG00000012048	ENSGGOG00000009827
ENSG00000012061	ENSGGOG00000014332
ENSG00000012124	ENSGGOG00000009101
ENSG00000012171	ENSGGOG00000007053
ENSG00000012174	ENSGGOG00000012064
ENSG00000012211	ENSGGOG00000039081
ENSG00000012223	ENSGGOG00000008073
ENSG00000012232	ENSGGOG00000008655
ENSG00000012504	ENSGGOG00000008137
ENSG00000012660	ENSGGOG00000011386
ENSG00000012779	ENSGGOG00000012775
ENSG00000012822	ENSGGOG00000011541
ENSG00000012963	ENSGGOG00000027838
ENSG00000013016	ENSGGOG00000003031
ENSG00000013275	ENSGGOG00000000920
ENSG00000013288	ENSGGOG00000008067
ENSG00000013293	ENSGGOG00000001456
ENSG00000013297	ENSGGOG00000023158
ENSG00000013306	ENSGGOG00000005843
ENSG00000013364	ENSGGOG00000015603
ENSG00000013374	ENSGGOG00000014540
ENSG00000013375	ENSGGOG00000000454
ENSG00000013441	ENSGGOG00000016192
ENSG00000013503	ENSGGOG00000016608
ENSG00000013523	ENSGGOG00000017040
ENSG00000013561	ENSGGOG00000008542
ENSG00000013563	ENSGGOG00000000132
ENSG00000013573	ENSGGOG00000015462
ENSG00000013583	ENSGGOG00000000902
ENSG00000013588	ENSGGOG00000015927
ENSG00000013619	ENSGGOG00000016675
ENSG00000013725	ENSGGOG00000008678
ENSG00000013810	ENSGGOG00000041158
ENSG00000014123	ENSGGOG00000013798
ENSG00000014138	ENSGGOG00000003056
ENSG00000014164	ENSGGOG00000002833
ENSG00000014216	ENSGGOG00000007754
ENSG00000014257	ENSGGOG00000012905
ENSG00000014641	ENSGGOG00000007085
ENSG00000014824	ENSGGOG00000001861
ENSG00000014914	ENSGGOG00000004764
ENSG00000014919	ENSGGOG00000010577
ENSG00000015133	ENSGGOG00000005726
ENSG00000015153	ENSGGOG00000007230
ENSG00000015171	ENSGGOG00000016536
ENSG00000015413	ENSGGOG00000006148
ENSG00000015475	ENSGGOG00000010562
ENSG00000015479	ENSGGOG00000007308
ENSG00000015520	ENSGGOG00000027580
ENSG00000015532	ENSGGOG00000011942
ENSG00000015592	ENSGGOG00000003341
ENSG00000015676	ENSGGOG00000001301
ENSG00000016082	ENSGGOG00000009588
ENSG00000016391	ENSGGOG00000001470
ENSG00000016402	ENSGGOG00000000380
ENSG00000016490	ENSGGOG00000011756
ENSG00000016602	ENSGGOG00000014623
ENSG00000016864	ENSGGOG00000011449
ENSG00000017260	ENSGGOG00000002535
ENSG00000017427	ENSGGOG00000004943
ENSG00000017483	ENSGGOG00000013314
ENSG00000017797	ENSGGOG00000023120
ENSG00000018189	ENSGGOG00000026311
ENSG00000018236	ENSGGOG00000016609
ENSG00000018280	ENSGGOG00000013353
ENSG00000018408	ENSGGOG00000000214
ENSG00000018510	ENSGGOG00000012114
ENSG00000018610	ENSGGOG00000013324
ENSG00000018625	ENSGGOG00000004949
ENSG00000018699	ENSGGOG00000012734
ENSG00000018869	ENSGGOG00000003541
ENSG00000019102	ENSGGOG00000005793
ENSG00000019144	ENSGGOG00000015323
ENSG00000019169	ENSGGOG00000015585
ENSG00000019186	ENSGGOG00000009673
ENSG00000019485	ENSGGOG00000017094
ENSG00000019505	ENSGGOG00000017096
ENSG00000019549	ENSGGOG00000000959
ENSG00000019582	ENSGGOG00000011709
ENSG00000019991	ENSGGOG00000003432
ENSG00000019995	ENSGGOG00000016848
ENSG00000020129	ENSGGOG00000009754
ENSG00000020181	ENSGGOG00000012872
ENSG00000020256	ENSGGOG00000012030
ENSG00000020426	ENSGGOG00000009127
ENSG00000020577	ENSGGOG00000000673
ENSG00000020633	ENSGGOG00000004848
ENSG00000020922	ENSGGOG00000008192
ENSG00000021300	ENSGGOG00000011695
ENSG00000021355	ENSGGOG00000007770
ENSG00000021461	ENSGGOG00000002076
ENSG00000021488	ENSGGOG00000011960
ENSG00000021574	ENSGGOG00000027369
ENSG00000021645	ENSGGOG00000042275
ENSG00000021762	ENSGGOG00000013248
ENSG00000021776	ENSGGOG00000014073
ENSG00000021826	ENSGGOG00000028226
ENSG00000021852	ENSGGOG00000008556
ENSG00000022267	ENSGGOG00000040546
ENSG00000022277	ENSGGOG00000004223
ENSG00000022355	ENSGGOG00000000791
ENSG00000022556	ENSGGOG00000001259
ENSG00000022567	ENSGGOG00000008028
ENSG00000022840	ENSGGOG00000013495
ENSG00000022976	ENSGGOG00000006061
ENSG00000023041	ENSGGOG00000025972
ENSG00000023171	ENSGGOG00000007671
ENSG00000023228	ENSGGOG00000001513
ENSG00000023287	ENSGGOG00000028523
ENSG00000023318	ENSGGOG00000007703
ENSG00000023330	ENSGGOG00000013205
ENSG00000023445	ENSGGOG00000005827
ENSG00000023516	ENSGGOG00000013285
ENSG00000023572	ENSGGOG00000025783
ENSG00000023608	ENSGGOG00000005031
ENSG00000023697	ENSGGOG00000005050
ENSG00000023734	ENSGGOG00000009939
ENSG00000023839	ENSGGOG00000002275
ENSG00000023892	ENSGGOG00000016204
ENSG00000023902	ENSGGOG00000002021
ENSG00000023909	ENSGGOG00000016426
ENSG00000024048	ENSGGOG00000004079
ENSG00000024422	ENSGGOG00000002346
ENSG00000024526	ENSGGOG00000016316
ENSG00000025039	ENSGGOG00000024195
ENSG00000025156	ENSGGOG00000023192
ENSG00000025293	ENSGGOG00000001674
ENSG00000025423	ENSGGOG00000009606
ENSG00000025434	ENSGGOG00000008583
ENSG00000025708	ENSGGOG00000010990
ENSG00000025770	ENSGGOG00000010975
ENSG00000025772	ENSGGOG00000003560
ENSG00000025796	ENSGGOG00000002560
ENSG00000025800	ENSGGOG00000004016
ENSG00000026025	ENSGGOG00000009576
ENSG00000026103	ENSGGOG00000025975
ENSG00000026297	ENSGGOG00000000498
ENSG00000026508	ENSGGOG00000000851
ENSG00000026559	ENSGGOG00000000844
ENSG00000026652	ENSGGOG00000036334
ENSG00000026751	ENSGGOG00000026166
ENSG00000026950	ENSGGOG00000007271
ENSG00000027001	ENSGGOG00000009424
ENSG00000027075	ENSGGOG00000008357
ENSG00000027644	ENSGGOG00000013800
ENSG00000027697	ENSGGOG00000008510
ENSG00000027847	ENSGGOG00000036813
ENSG00000027869	ENSGGOG00000013632
ENSG00000028116	ENSGGOG00000012141
ENSG00000028137	ENSGGOG00000007768
ENSG00000028203	ENSGGOG00000001896
ENSG00000028277	ENSGGOG00000011088
ENSG00000028310	ENSGGOG00000034974
ENSG00000028528	ENSGGOG00000011072
ENSG00000028839	ENSGGOG00000028298
ENSG00000029153	ENSGGOG00000007332
ENSG00000029363	ENSGGOG00000001824
ENSG00000029364	ENSGGOG00000004753
ENSG00000029534	ENSGGOG00000011729
ENSG00000029559	ENSGGOG00000007024
ENSG00000029639	ENSGGOG00000012189
ENSG00000029725	ENSGGOG00000002724
ENSG00000029993	ENSGGOG00000027164
ENSG00000030066	ENSGGOG00000000719
ENSG00000030110	ENSGGOG00000022462
ENSG00000030304	ENSGGOG00000015657
ENSG00000030419	ENSGGOG00000011301
ENSG00000030582	ENSGGOG00000015827
ENSG00000031003	ENSGGOG00000025007
ENSG00000031081	ENSGGOG00000007341
ENSG00000031691	ENSGGOG00000024998
ENSG00000031698	ENSGGOG00000001752
ENSG00000031823	ENSGGOG00000006300
ENSG00000032219	ENSGGOG00000027092
ENSG00000032389	ENSGGOG00000013158
ENSG00000032444	ENSGGOG00000011946
ENSG00000032742	ENSGGOG00000015507
ENSG00000033011	ENSGGOG00000000447
ENSG00000033030	ENSGGOG00000027926
ENSG00000033050	ENSGGOG00000000314
ENSG00000033100	ENSGGOG00000001088
ENSG00000033122	ENSGGOG00000015111
ENSG00000033170	ENSGGOG00000008902
ENSG00000033178	ENSGGOG00000014742
ENSG00000033327	ENSGGOG00000010086
ENSG00000033627	ENSGGOG00000010819
ENSG00000033800	ENSGGOG00000016852
ENSG00000033867	ENSGGOG00000011232
ENSG00000034053	ENSGGOG00000005676
ENSG00000034152	ENSGGOG00000000670
ENSG00000034239	ENSGGOG00000015381
ENSG00000034510	ENSGGOG00000014404
ENSG00000034677	ENSGGOG00000026234
ENSG00000034693	ENSGGOG00000016184
ENSG00000034713	ENSGGOG00000012299
ENSG00000034971	ENSGGOG00000027553
ENSG00000035115	ENSGGOG00000000873
ENSG00000035141	ENSGGOG00000023247
ENSG00000035403	ENSGGOG00000011101
ENSG00000035499	ENSGGOG00000014855
ENSG00000035664	ENSGGOG00000016537
ENSG00000035681	ENSGGOG00000004827
ENSG00000035687	ENSGGOG00000011109
ENSG00000035720	ENSGGOG00000000321
ENSG00000035862	ENSGGOG00000037380
ENSG00000035928	ENSGGOG00000007977
ENSG00000036054	ENSGGOG00000014841
ENSG00000036257	ENSGGOG00000007447
ENSG00000036448	ENSGGOG00000002794
ENSG00000036473	ENSGGOG00000011703
ENSG00000036530	ENSGGOG00000004816
ENSG00000036549	ENSGGOG00000009242
ENSG00000036565	ENSGGOG00000003882
ENSG00000036672	ENSGGOG00000005083
ENSG00000036828	ENSGGOG00000002159
ENSG00000037042	ENSGGOG00000010899
ENSG00000037241	ENSGGOG00000025582
ENSG00000037280	ENSGGOG00000006749
ENSG00000037474	ENSGGOG00000016583
ENSG00000037637	ENSGGOG00000014592
ENSG00000037749	ENSGGOG00000011060
ENSG00000037757	ENSGGOG00000006628
ENSG00000037897	ENSGGOG00000001411
ENSG00000037965	ENSGGOG00000006289
ENSG00000038002	ENSGGOG00000007600
ENSG00000038210	ENSGGOG00000014057
ENSG00000038219	ENSGGOG00000027616
ENSG00000038274	ENSGGOG00000026739
ENSG00000038295	ENSGGOG00000000148
ENSG00000038358	ENSGGOG00000013857
ENSG00000038382	ENSGGOG00000013607
ENSG00000038427	ENSGGOG00000016068
ENSG00000038532	ENSGGOG00000014059
ENSG00000038945	ENSGGOG00000025554
ENSG00000039068	ENSGGOG00000006029
ENSG00000039123	ENSGGOG00000001867
ENSG00000039139	ENSGGOG00000007206
ENSG00000039319	ENSGGOG00000000411
ENSG00000039523	ENSGGOG00000011949
ENSG00000039537	ENSGGOG00000008230
ENSG00000039560	ENSGGOG00000024320
ENSG00000039600	ENSGGOG00000025241
ENSG00000039650	ENSGGOG00000010193
ENSG00000039987	ENSGGOG00000005549
ENSG00000040199	ENSGGOG00000008841
ENSG00000040275	ENSGGOG00000003325
ENSG00000040341	ENSGGOG00000026508
ENSG00000040487	ENSGGOG00000000536
ENSG00000040531	ENSGGOG00000009892
ENSG00000040608	ENSGGOG00000006055
ENSG00000040633	ENSGGOG00000005820
ENSG00000040731	ENSGGOG00000012457
ENSG00000040933	ENSGGOG00000006003
ENSG00000041353	ENSGGOG00000015655
ENSG00000041357	ENSGGOG00000000191
ENSG00000041515	ENSGGOG00000017053
ENSG00000041802	ENSGGOG00000000520
ENSG00000041880	ENSGGOG00000012456
ENSG00000041982	ENSGGOG00000010138
ENSG00000041988	ENSGGOG00000006842
ENSG00000042062	ENSGGOG00000007043
ENSG00000042088	ENSGGOG00000000701
ENSG00000042286	ENSGGOG00000005951
ENSG00000042317	ENSGGOG00000001514
ENSG00000042429	ENSGGOG00000010401
ENSG00000042445	ENSGGOG00000008852
ENSG00000042493	ENSGGOG00000011604
ENSG00000042753	ENSGGOG00000011254
ENSG00000042781	ENSGGOG00000009561
ENSG00000042813	ENSGGOG00000016780
ENSG00000042832	ENSGGOG00000005600
ENSG00000042980	ENSGGOG00000017021
ENSG00000043039	ENSGGOG00000015386
ENSG00000043093	ENSGGOG00000010767
ENSG00000043143	ENSGGOG00000016982
ENSG00000043355	ENSGGOG00000006512
ENSG00000043462	ENSGGOG00000006590
ENSG00000043514	ENSGGOG00000010070
ENSG00000043591	ENSGGOG00000022596
ENSG00000044012	ENSGGOG00000011520
ENSG00000044090	ENSGGOG00000010532
ENSG00000044115	ENSGGOG00000012810
ENSG00000044446	ENSGGOG00000003407
ENSG00000044459	ENSGGOG00000025720
ENSG00000044524	ENSGGOG00000014939
ENSG00000044574	ENSGGOG00000026879
ENSG00000046604	ENSGGOG00000008855
ENSG00000046647	ENSGGOG00000025262
ENSG00000046651	ENSGGOG00000006453
ENSG00000046653	ENSGGOG00000014304
ENSG00000046774	ENSGGOG00000001664
ENSG00000046889	ENSGGOG00000025407
ENSG00000047056	ENSGGOG00000009409
ENSG00000047188	ENSGGOG00000014407
ENSG00000047230	ENSGGOG00000006951
ENSG00000047249	ENSGGOG00000000515
ENSG00000047315	ENSGGOG00000034986
ENSG00000047346	ENSGGOG00000015199
ENSG00000047365	ENSGGOG00000007115
ENSG00000047410	ENSGGOG00000003533
ENSG00000047457	ENSGGOG00000009531
ENSG00000047578	ENSGGOG00000017086
ENSG00000047579	ENSGGOG00000005548
ENSG00000047597	ENSGGOG00000016059
ENSG00000047617	ENSGGOG00000008975
ENSG00000047621	ENSGGOG00000025071
ENSG00000047634	ENSGGOG00000003874
ENSG00000047648	ENSGGOG00000009476
ENSG00000047662	ENSGGOG00000007263
ENSG00000047849	ENSGGOG00000004315
ENSG00000047932	ENSGGOG00000013555
ENSG00000047936	ENSGGOG00000014048
ENSG00000048028	ENSGGOG00000005119
ENSG00000048052	ENSGGOG00000013656
ENSG00000048140	ENSGGOG00000015858
ENSG00000048342	ENSGGOG00000002758
ENSG00000048405	ENSGGOG00000028009
ENSG00000048462	ENSGGOG00000022390
ENSG00000048471	ENSGGOG00000040079
ENSG00000048540	ENSGGOG00000025445
ENSG00000048544	ENSGGOG00000012808
ENSG00000048545	ENSGGOG00000012797
ENSG00000048649	ENSGGOG00000001833
ENSG00000048707	ENSGGOG00000001894
ENSG00000048740	ENSGGOG00000009330
ENSG00000048828	ENSGGOG00000003353
ENSG00000048991	ENSGGOG00000008156
ENSG00000049089	ENSGGOG00000002596
ENSG00000049130	ENSGGOG00000021939
ENSG00000049167	ENSGGOG00000003300
ENSG00000049192	ENSGGOG00000016127
ENSG00000049239	ENSGGOG00000010299
ENSG00000049245	ENSGGOG00000004345
ENSG00000049246	ENSGGOG00000000580
ENSG00000049247	ENSGGOG00000006802
ENSG00000049249	ENSGGOG00000016838
ENSG00000049283	ENSGGOG00000003374
ENSG00000049323	ENSGGOG00000012159
ENSG00000049449	ENSGGOG00000025038
ENSG00000049540	ENSGGOG00000037197
ENSG00000049541	ENSGGOG00000025281
ENSG00000049618	ENSGGOG00000011723
ENSG00000049656	ENSGGOG00000015622
ENSG00000049759	ENSGGOG00000013730
ENSG00000049768	ENSGGOG00000000913
ENSG00000049769	ENSGGOG00000000915
ENSG00000049860	ENSGGOG00000009296
ENSG00000049883	ENSGGOG00000010695
ENSG00000050030	ENSGGOG00000005315
ENSG00000050130	ENSGGOG00000002463
ENSG00000050165	ENSGGOG00000009557
ENSG00000050344	ENSGGOG00000025881
ENSG00000050393	ENSGGOG00000002632
ENSG00000050405	ENSGGOG00000007975
ENSG00000050426	ENSGGOG00000012094
ENSG00000050438	ENSGGOG00000012298
ENSG00000050555	ENSGGOG00000017164
ENSG00000050628	ENSGGOG00000000587
ENSG00000050730	ENSGGOG00000012377
ENSG00000050748	ENSGGOG00000016519
ENSG00000050767	ENSGGOG00000006904
ENSG00000050820	ENSGGOG00000010661
ENSG00000051009	ENSGGOG00000016021
ENSG00000051108	ENSGGOG00000005046
ENSG00000051128	ENSGGOG00000007011
ENSG00000051180	ENSGGOG00000014269
ENSG00000051341	ENSGGOG00000011565
ENSG00000051382	ENSGGOG00000009579
ENSG00000051523	ENSGGOG00000012534
ENSG00000051596	ENSGGOG00000012127
ENSG00000051620	ENSGGOG00000001584
ENSG00000051825	ENSGGOG00000005581
